test_name task_name gold_standard_file coverage model model_configuration metric score_value
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 KNN K=3 accuracy 0.8822222222222222
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 C45 - accuracy 0.7142222222222222
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.001 accuracy 0.7578888888888892
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.01 accuracy 0.7578888888888892
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.1 accuracy 0.8714444444444442
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=1.0 accuracy 0.9661111111111114
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=10.0 accuracy 0.969111111111111
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=100 accuracy 0.9688888888888888
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=1000 accuracy 0.9688888888888888
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 NB - accuracy 0.6666666666666665
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 KNN K=3 accuracy 0.6524074074074075
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 C45 - accuracy 0.5772222222222222
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.001 accuracy 0.6833333333333333
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.2_remove_Person_Place_Object_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.01 accuracy 0.6833333333333333
